vanilla-i18n-key,English,Français,Deutsch
form.field.roles,"<div class=""col-sm-12""><input type=""text"" name=""authorityName"" class=""form-control mb-2"" placeholder=""Author's last name""><input type=""text"" name=""authoritySurname"" class=""form-control mb-2"" placeholder=""Author first name""><div class=""form-check-inline checkbox checkbox-inline my-1 py-2""><input type=""checkbox"" value=""transcriber"" name=""roleTranscriber"" id=""roleTranscriber""><label class=""form-check-label"" for=""roleTranscriber"">Transcription</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""aligner"" name=""roleAligner"" id=""roleAligner""><label class=""form-check-label"" for=""roleAligner"">Alignment</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""project-manager"" name=""roleMainCreator"" id=""roleMainCreator""><label class=""form-check-label"" for=""roleMainCreator"">Project Manager</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""quality-control"" name=""roleQualityControl"" id=""roleQualityControl""><label class=""form-check-label"" for=""roleQualityControl"">QualityControl</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""digitization"" name=""roleDigitization"" id=""roleDigitization""><label class=""form-check-label"" for=""roleDigitization"">Digitization</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""support"" name=""roleSupport"" id=""roleSupport""><label class=""form-check-label"" for=""roleSupport"">Support</label></div></div>","<div class=""col-sm-12""><input type=""text"" name=""authorityName"" class=""form-control mb-2"" placeholder=""Nom de l'auteur-rice""><input type=""text"" name=""authoritySurname"" class=""form-control mb-2"" placeholder=""Prénom de l'auteur-rice""><div class=""form-check-inline checkbox checkbox-inline my-1 py-2""><input type=""checkbox"" value=""transcriber"" name=""roleTranscriber"" id=""roleTranscriber""><label class=""form-check-label"" for=""roleTranscriber"">Transcription</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""aligner"" name=""roleAligner"" id=""roleAligner""><label class=""form-check-label"" for=""roleAligner"">Alignement</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""project-manager"" name=""roleMainCreator"" id=""roleMainCreator""><label class=""form-check-label"" for=""roleMainCreator"">Responsable du projet</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""quality-control"" name=""roleQualityControl"" id=""roleQualityControl""><label class=""form-check-label"" for=""roleQualityControl"">Contrôle Qualité</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""digitization"" name=""roleDigitization"" id=""roleDigitization""><label class=""form-check-label"" for=""roleDigitization"">Numérisation</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""support"" name=""roleSupport"" id=""roleSupport""><label class=""form-check-label"" for=""roleSupport"">Assistance</label></div></div>","<div class=""col-sm-12""><input type=""text"" name=""authorityName"" class=""form-control mb-2"" placeholder=""Nachname des Autors""><input type=""text"" name=""authoritySurname"" class=""form-control mb-2"" placeholder=""Vorname des Autors""><div class=""form-check-inline checkbox checkbox-inline my-1 py-2""><input type=""checkbox"" value=""transcriber"" name=""roleTranscriber"" id=""roleTranscriber""><label class=""form-check-label"" for=""roleTranscriber"">Transkription</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""aligner"" name=""roleAligner"" id=""roleAligner""><label class=""form-check-label"" for=""roleAligner"">Zuordnung und Anpassung</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""project-manager"" name=""roleMainCreator"" id=""roleMainCreator""><label class=""form-check-label"" for=""roleMainCreator"">Projektleiter</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""quality-control"" name=""roleQualityControl"" id=""roleQualityControl""><label class=""form-check-label"" for=""roleQualityControl"">Qualitätskontrolle</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""digitization"" name=""roleDigitization"" id=""roleDigitization""><label class=""form-check-label"" for=""roleDigitization"">Digitalisierung</label></div><div class=""form-check-inline my-1 py-2""><input type=""checkbox"" value=""support"" name=""roleSupport"" id=""roleSupport""><label class=""form-check-label"" for=""roleSupport"">Unterstützung</label></div></div>"
form.field.repolink,Link to repository,Lien vers le dépôt,Link zum Repositorium
form.field.qual.select.regions,Zones,Zones,Zonen
form.field.qual.select.pages,Pages,Pages,Seiten
form.field.qual.select.lines,Lines,Lignes,Zeilen
form.field.qual.select.files,XML Files,Fichiers XML,XML-Dateien
form.field.qual.select.characters,Characters,Caractères,Zeichen
form.field.qual.label,Estimated quantity,Description sommaire des quantités,Geschätzte Menge
form.field.project.name,Project's name (if different from the repository/dataset's one),Nom du projet (si différent du nom du dépôt),Projektname (falls abweichend vom Namen des Repositorys/Datensatzes)
form.field.project.link,Link to project's website,Lien vers le site du projet,Link zur Website des Projekts
form.field.prec.select.level1,Level 1,Niveau 1,Level 1
form.field.prec.select.level2,Level 2,Niveau 2,Level 2
form.field.prec.select.level3,Level 3,Niveau 3,Level 3
form.field.prec.select.levelmix,Level mix,Niveau Mélange,Levelmix
form.field.prec.label,Transcription level,Niveau de transcription,Transcriptionslevel
form.field.member.rm,Remove person,Supprimer cette personne,Person entfernen
form.field.member.add,Add person,Ajouter une personne,Person hinzufügen
form.field.license,License,Licence,Lizenz
form.field.hands.select.unknown,Unknown,Inconnu,Unbekannt
form.field.hands.select.more3,More than 3 (many),Supérieur à 3 (beaucoup),Mehr als 3 (viele)
form.field.hands.label,Number fonts or hands,Nombre de mains (ou de fontes),Anzahl Schriftarten oder Schreiber
form.field.guidelines.label,Transcription guidelines,Normes de transcription,Richtlinien für die Transkription
form.field.guidelines.info,"Guidelines used to transcribe the resources (normalization, resolution of abbreviation, correction of mispelling, etc.)","Normes de transcriptions utilisées (format libre). Peut concerner la résolution des abréviations, corrections de fautes d'orthographe, l'usage de caractères spéciaux, la normalisation, etc.","Für die Transkription der Ressourcen verwendete Richtlinien (Normalisierung, Auflösung von Abkürzungen, Korrektur von Schreibfehlern usw.)"
form.field.gtstructuretext,structure and text GT,Structure et Texte GT,Struktur und Text-GT
form.field.gtstructure,structure GT,Structure GT,Struktur-GT
form.field.gtline,line GT,Lignes GT,Zeilen-GT
form.field.gtdocument,document GT,Document GT,Dokument-GT
form.field.gt,Type of Ground Truth,Type de vérités de terrain,Ground-Truth-Typ
form.field.ds_title,Repository's or dataset's title,Nom du dépôt / dataset (titre),Titel des Repositoriums oder des Datensatzes
form.field.ds_desc,Short description,Courte description,Kurzbeschreibung
form.field.cff.link,Link to a CITATION.cff file,Lien vers un fichier CITATION.cff,Link zur CITATION.cff-Datei
form.field.cff.info,"CITATION.cf files allow for generating quick APA citations or Bibtex ones on github for example. See:","Les fichiers CITATION.cff permettent de fournir un mode de citation assez simple sur github par exemple. Lien:","CITATION.cf-Dateien ermöglichen die schnelle Erstellung von APA-Zitaten oder Bibtex-Zitaten, zum Beispiel auf Github. Siehe:"
form.field.authors,Authority and role(s),Acteur-rice-s du projet,Autorität und Rolle(n)
form.field.apa,"<small class=""text-muted"">We prefer APA references, which can look like the following <code>Allport, G. W. (1930–1967). Correspondence. Gordon W. Allport Papers (HUG 4118.10), Harvard University Archives, Cambridge, MA, United States.</code>, see <a href=""https://apastyle.apa.org/style-grammar-guidelines/references/archival"">APA Style</a>, but simpler formats are okay too. The link or the APA reference are sufficient but you can provide both.</small>","<small class=""text-muted"">Le format APA est préféré pour les citations, ce qui peut donner des références longues comme <code>Allport, G. W. (1930–1967). Correspondence. Gordon W. Allport Papers (HUG 4118.10), Harvard University Archives, Cambridge, MA, United States.</code>, cf. <a href=""https://apastyle.apa.org/style-grammar-guidelines/references/archival"">APA Style</a>. Des formats plus courts sont autorisé. Le lien ou la référence APA peuvent suffire.</small>","<small class=""text-muted"">Wir bevorzugen APA-Referenzen, die wie folgt aussehen können <code>Allport, G. W. (1930-1967). Korrespondenz. Gordon W. Allport Papers (HUG 4118.10), Harvard University Archives, Cambridge, MA, United States</code>, siehe <a href=""https://apastyle.apa.org/style-grammar-guidelines/references/archival"">APA-Stil</a>, aber einfachere Formate sind auch in Ordnung. Der Link oder die APA-Referenz sind ausreichend, aber Sie können auch beides angeben.</small>"
form.download.text3,A METADATA.yml file is created in your repository. You can now paste into the metadata created.,Un fichier METADATA.yml sera créé dans votre référentiel. Vous pouvez maintenant insérer les métadonnées générées.,Eine METADATA.yml-Datei wird in Ihrem Repository erstellt. Sie können nun die erstellten Metadaten einfügen.
form.download.text2,to the clipboard and click on this,dans le presse-papiers et cliquez sur ce,in die Zwischenablage und klicken Sie auf diesen
form.download.text,this file below or,le fichier ci-dessous ou,Sie diese Datei herunter oder
form.download.push_link,link,lien,Link
form.download.push_copy,copy your content,copiez son contenu,kopieren Sie den Inhalt
form.download.dl,Download,Téléchargez,Laden
form.desc.main,"HTR-United is a Github organization without any other form of legal personality. It aims at gathering HTR/OCR models for and transcriptions of all periods and style of writing, mostly but not exclusively in French. <br/>It was born from the mere necessity -for projects- to possess potentiel ground truth to rapidly train models on smaller corpora.","HTR-United est une organisation Github sans autre forme de personnalité juridique visant à mettre en commun des jeux de données et des modèles pour l'HTR/OCR de textes de toutes périodes et de tout style, principalement en français mais de manière non restricive.&nbsp,<br>Elle est née du simple besoin - pour des projets - d'avoir de potentiels vérités de terrain pour entraîner des modèles rapidement sur des corpus plus petits.","HTR-United ist eine Github-Organisation ohne jede andere Form von Rechtspersönlichkeit. Ihr Ziel ist es, HTR/OCR-Modelle für und Transkriptionen von allen Epochen und Schreibstilen zu sammeln, hauptsächlich, aber nicht ausschließlich in Französisch.<br/>HTR-United entstand aus der bloßen Notwendigkeit - für Projekte - potentiellen Ground-Truth zu besitzen, um Modelle schnell auf kleineren Korpora zu trainieren."
form.btn.get,Get formatted metadata,Créer et obtenir les métadonnées formatées,Formatierte Metadaten abrufen
form.input.ocrmodel,"OCR model name","Nom du modèle OCR","OCR-Modellname"
form.field.ocrmodel,"OCR model name (title)","Nom du modèle OCR (titre)","OCR-Modellname (Titel)"
form.field.ocrmodellink,"Link to the OCR model","Lien vers le modèle OCR","Link zum OCR-Modell"
form.input.ocrmodellink,"Link to the OCR model","Lien vers le modèle OCR","Link zum OCR-Modell"
form.title.ocrdetail,Detailed information about the OCR model,Informations détaillées sur le modèle OCR,Detaillierte Informationen zum OCR-Modell
form.input.desc,Description,Description,Beschreibung
footer.team,Who are the people behind HTR-United?,Qui est derrière HTR-United ?,Wer sind die Menschen hinter HTR-United?
